DevEUI,Status,Atividade,Porta
0080e11500058c62,Fora da NLT,Não ativo, desconhecida
0080e11500058d27,Na NLT,Não ativo, desconhecida
0080e11500058f1a,Na NLT,Ativo,8
0080e115000592b3,Na NLT,Não ativo, desconhecida
0080e11500059a69,Na NLT,Não ativo, desconhecida
0080e1150005bb2d,Na NLT,Ativo,8
0080e1150005bc13,Na NLT,Ativo,8
0080e1150005bc18,Na NLT,Não ativo, desconhecida
0080e1150005bc29,Na NLT,Não ativo, desconhecida
0080e1150005bc56,Na NLT,Ativo,8
0080e1150005bc74,Na NLT,Não ativo, desconhecida
0080e1150005bc89,Fora da NLT,Não ativo, desconhecida
0080e1150005bdfa,Na NLT,Não ativo, desconhecida
0080e1150005be02,Na NLT,Ativo,8
0080e1150005be07,Na NLT,Ativo,8
0080e1150005be08,Na NLT,Não ativo, desconhecida
0080e1150005be1c,Na NLT,Não ativo, desconhecida
0080e1150005be1d,Na NLT,Não ativo, desconhecida
0080e1150005be5c,Na NLT,Ativo,8
0080e1150005be8e,Na NLT,Não ativo, desconhecida
0080e1150005be92,Na NLT,Não ativo, desconhecida
0080e1150005be9b,Na NLT,Ativo,8
0080e1150005be9c,Na NLT,Ativo,8
0080e1150005be9f,Na NLT,Ativo,8
0080e1150005bea1,Na NLT,Não ativo, desconhecida
0080e1150005bed0,Na NLT,Não ativo, desconhecida
0080e1150005bed4,Na NLT,Não ativo, desconhecida
0080e1150005bedb,Na NLT,Não ativo, desconhecida
0080e1150005beea,Na NLT,Não ativo, desconhecida
0080e1150005c0a0,Na NLT,Não ativo, desconhecida
0080e1150005c0a7,Na NLT,Não ativo, desconhecida
0080e1150005c0b5,Na NLT,Ativo,8
0080e1150005c0d8,Na NLT,Não ativo, desconhecida
0080e1150005c0da,Na NLT,Ativo,8
0080e1150005c149,Na NLT,Ativo,8
0080e1150005c14d,Na NLT,Não ativo, desconhecida
0080e1150005c187,Na NLT,Não ativo, desconhecida
0080e1150005c18a,Na NLT,Não ativo, desconhecida
0080e1150005c18e,Na NLT,Ativo,8
0080e1150005c36f,Na NLT,Não ativo, desconhecida
0080e1150005c376,Fora da NLT,Não ativo, desconhecida
0080e1150005c394,Na NLT,Não ativo,8
0080e1150005c398,Na NLT,Não ativo, desconhecida
0080e1150005c399,Na NLT,Não ativo, desconhecida
0080e1150005c404,Na NLT,Não ativo, desconhecida
0080e1150005c41f,Na NLT,Ativo,8
0080e1150005c453,Fora da NLT,Não ativo, desconhecida
0080e1150005c454,Fora da NLT,Não ativo, desconhecida
0080e1150005c456,Na NLT,Ativo,8
0080e1150005c46c,Fora da NLT,Não ativo, desconhecida
0080e1150005c46e,Na NLT,Não ativo, desconhecida
0080e1150005c473,Na NLT,Ativo,8
0080e1150005c658,Na NLT,Não ativo, desconhecida
0080e1150005c663,Na NLT,Não ativo, desconhecida
0080e1150005c66a,Na NLT,Ativo,8
0080e1150005c683,Na NLT,Não ativo, desconhecida
0080e1150005c6ed,Na NLT,Não ativo, desconhecida
0080e1150005c6ee,Na NLT,Ativo,8
0080e1150005c6f1,Na NLT,Ativo,8
0080e1150005c707,Na NLT,Ativo,8
0080e1150005c70a,Na NLT,Não ativo,0
0080e1150005c73e,Fora da NLT,Não ativo, desconhecida
0080e1150005c745,Na NLT,Não ativo, desconhecida
0080e1150005c752,Na NLT,Não ativo, desconhecida
0080e1150005c757,Fora da NLT,Não ativo, desconhecida
0080e1150005c758,Fora da NLT,Não ativo, desconhecida
0080e1150005c913,Na NLT,Não ativo, desconhecida
0080e1150005c93d,Na NLT,Não ativo, desconhecida
0080e1150005c9a2,Na NLT,Ativo,8
0080e1150005c9b3,Na NLT,Não ativo, desconhecida
0080e1150005c9b7,Na NLT,Ativo,8
0080e1150005c9b9,Na NLT,Não ativo, desconhecida
0080e1150005ca04,Na NLT,Não ativo, desconhecida
0080e1150005ca0c,Na NLT,Ativo,8
0080e1150005cb71,Na NLT,Não ativo, desconhecida
0080e1150005cb83,Na NLT,Não ativo, desconhecida
0080e1150005cb87,Na NLT,Não ativo, desconhecida
0080e1150005cbb8,Na NLT,Ativo,8
0080e1150005cc07,Na NLT,Ativo,8
0080e1150005cc17,Na NLT,Não ativo, desconhecida
0080e1150005cd22,Na NLT,Não ativo, desconhecida
0080e1150005cd28,Na NLT,Ativo,8
0080e1150005cd3f,Na NLT,Ativo,8
0080e115000d6106,Na NLT,Ativo,8
0080e115000d6113,Na NLT,Ativo,8
0080e115000d611a,Na NLT,Não ativo, desconhecida
0080e115000d6129,Na NLT,Ativo,8
0080e115000d612c,Na NLT,Não ativo, desconhecida
0080e115000d6132,Na NLT,Ativo,8
0080e115000d614e,Na NLT,Ativo,8
0080e115000d6153,Fora da NLT,Não ativo, desconhecida
0080e115000d6154,Na NLT,Não ativo, desconhecida
0080e115000d615e,Na NLT,Ativo,8
0080e115000d6176,Na NLT,Ativo,8
0080e115000d6177,Na NLT,Ativo,8
0080e115000d617d,Na NLT,Ativo,8
0080e115000d6182,Na NLT,Ativo,0
0080e115000d62a7,Na NLT,Ativo,8
0080e115000d62ac,Na NLT,Ativo,8
0080e115000d62ad,Na NLT,Ativo,8
0080e115000d62ae,Na NLT,Ativo,8
0080e115000d62b1,Fora da NLT,Não ativo, desconhecida
0080e115000d62b2,Na NLT,Ativo,8
0080e115000d62b7,Na NLT,Ativo,8
0080e115000d62b8,Na NLT,Não ativo, desconhecida
0080e115000d62b9,Na NLT,Ativo,8
0080e115000d6364,Na NLT,Ativo,8
0080e115000d6366,Na NLT,Não ativo, desconhecida
0080e115000d6367,Na NLT,Não ativo, desconhecida
0080e115000d636b,Na NLT,Não ativo, desconhecida
0080e115000d636d,Na NLT,Ativo,8
0080e115000d636e,Na NLT,Ativo,8
0080e115000d636f,Na NLT,Não ativo, desconhecida
0080e115000d6375,Na NLT,Ativo,8
0080e115000d64e4,Na NLT,Ativo,8
0080e115000d64eb,Na NLT,Ativo,8
0080e115000d64ec,Na NLT,Não ativo, desconhecida
0080e115000d64f0,Na NLT,Ativo,8
0080e115000d64f4,Na NLT,Ativo,8
0080e115000d65d8,Na NLT,Ativo,8
0080e115000d65e1,Na NLT,Não ativo, desconhecida
0080e115000d65e2,Na NLT,Ativo,8
0080e115000d65e3,Na NLT,Ativo,8
0080e115000d65e7,Na NLT,Ativo, desconhecida
0080e115000d65e8,Na NLT,Ativo,8
0080e115000d65e9,Na NLT,Ativo,8
0080e115000d6787,Na NLT,Ativo,8
0080e115000d6788,Na NLT,Ativo,8
0080e115000d678f,Na NLT,Não ativo, desconhecida
0080e115000d67a7,Na NLT,Ativo,8
0080e115000d67a8,Na NLT,Não ativo, desconhecida
0080e115000d67ae,Na NLT,Não ativo,0
0080e115000d67b5,Na NLT,Ativo, desconhecida
0080e115000d67c2,Na NLT,Não ativo, desconhecida
0080e115000d67c7,Na NLT,Ativo,8
0080e115000d67c8,Na NLT,Ativo,8
0080e115000d68ba,Na NLT,Não ativo, desconhecida
0080e115000d68be,Na NLT,Ativo,8
0080e115000d68bf,Na NLT,Ativo,8
0080e115000d68c0,Na NLT,Ativo,8
0080e115000d68c1,Na NLT,Não ativo, desconhecida
0080e115000d68c5,Na NLT,Não ativo, desconhecida
0080e115000d68ca,Na NLT,Ativo,8
0080e115000d68cb,Na NLT,Não ativo, desconhecida
0080e115000d68cc,Na NLT,Não ativo, desconhecida
0080e115000d6a6d,Na NLT,Não ativo, desconhecida
0080e115000d6a6e,Na NLT,Não ativo, desconhecida
0080e115000d6a74,Na NLT,Ativo,8
0080e115000d6a82,Fora da NLT,Não ativo, desconhecida
0080e115000d6a83,Na NLT,Não ativo, desconhecida
0080e115000d6a92,Fora da NLT,Não ativo, desconhecida
0080e115000d6aa5,Na NLT,Ativo,8
0080e115000d6aac,Na NLT,Ativo,8
0080e115000d6b99,Na NLT,Não ativo, desconhecida
0080e115000d6b9a,Na NLT,Ativo,8
0080e115000d6b9b,Na NLT,Não ativo, desconhecida
0080e115000d6b9c,Na NLT,Ativo,8
0080e115000d6b9f,Na NLT,Ativo,8
0080e115000d6ba0,Na NLT,Ativo,8
0080e115000d6ba5,Na NLT,Ativo,8
0080e115000d6ba6,Na NLT,Ativo,8
0080e115000d6ba7,Na NLT,Ativo,8
0080e115000d6d52,Na NLT,Não ativo, desconhecida
0080e115000d6d54,Na NLT,Não ativo, desconhecida
0080e115000d6d5a,Na NLT,Ativo,8
0080e115000d6d67,Na NLT,Não ativo, desconhecida
0080e115000d6d69,Na NLT,Não ativo, desconhecida
0080e115000d6d6e,Na NLT,Ativo,8
0080e115000d6e65,Na NLT,Ativo,8
0080e115000d6e6a,Fora da NLT,Não ativo, desconhecida
0080e115000d6e6b,Na NLT,Ativo,8
0080e115000d6e70,Na NLT,Não ativo, desconhecida
0080e115000d6e71,Na NLT,Não ativo, desconhecida
0080e115000d6e82,Na NLT,Ativo,8
